Software,Version,Licenses,Url,Comments
1to2,1.0.0,MIT,git://github.com/nodejs/nan.git,
JSONStream,1.0.6,package.json:(MIT OR Apache-2.0) & LICENSE.APACHE2:Apache-2.0-appendix & LICENSE.MIT:MIT,git://github.com/dominictarr/JSONStream.git,
a,1.0.0,undefined,,
abbrev,1.0.7,ISC,git+ssh://git@github.com/isaacs/abbrev-js.git,
accepts,1.2.13,MIT,git+https://github.com/jshttp/accepts.git,
accord,0.15.2,MIT,git+https://github.com/jenius/accord.git,
acorn,1.2.2,MIT,git+https://github.com/marijnh/acorn.git,
aggregate-example,0.0.0,BSD,,
align-text,0.1.3,MIT,git://github.com/jonschlinkert/align-text.git,
alter,0.2.0,MIT,git+https://github.com/olov/alter.git,
amdefine,1.0.0,package.json:BSD-3-Clause AND MIT & LICENSE:undefined,git+https://github.com/jrburke/amdefine.git,
animate.css,3.2.5,undefined,git+https://github.com/daneden/animate.css.git,
ansi,0.3.0,undefined,git://github.com/TooTallNate/ansi.js.git,
ansi-green,0.1.1,MIT,git+https://github.com/jonschlinkert/ansi-green.git,
ansi-regex,0.2.1,MIT,git://github.com/sindresorhus/ansi-regex.git,
ansi-regex,1.1.1,MIT,git+https://github.com/sindresorhus/ansi-regex.git,
ansi-regex,2.0.0,MIT,git+https://github.com/sindresorhus/ansi-regex.git,
ansi-styles,1.1.0,MIT,git://github.com/sindresorhus/ansi-styles.git,
ansi-styles,2.1.0,MIT,git+https://github.com/chalk/ansi-styles.git,
ansi-wrap,0.1.0,MIT,git+https://github.com/jonschlinkert/ansi-wrap.git,
ansicolors,0.2.1,MIT,git://github.com/thlorenz/ansicolors.git,
anymatch,1.3.0,ISC,git+https://github.com/es128/anymatch.git,
app6,0.0.0,undefined,,
append-field,0.1.0,MIT,git+ssh://git@github.com/LinusU/node-append-field.git,
archiver,0.14.4,MIT,git+https://github.com/archiverjs/node-archiver.git,
archy,1.0.0,MIT,git+ssh://git@github.com/substack/node-archy.git,
are-we-there-yet,1.0.4,ISC,git+https://github.com/iarna/are-we-there-yet.git,
argparse,1.0.2,MIT,git://github.com/nodeca/argparse.git,
arr-diff,1.1.0,MIT,git+https://github.com/jonschlinkert/arr-diff.git,
arr-flatten,1.0.1,MIT,git://github.com/jonschlinkert/arr-flatten.git,
array-differ,1.0.0,MIT,git://github.com/sindresorhus/array-differ.git,
array-filter,0.0.1,MIT,git://github.com/juliangruber/array-filter.git,
array-flatten,1.1.1,MIT,git://github.com/blakeembrey/array-flatten.git,
array-index,0.1.1,undefined,git://github.com/TooTallNate/array-index.git,
array-map,0.0.0,MIT,git://github.com/substack/array-map.git,
array-reduce,0.0.0,MIT,git://github.com/substack/array-reduce.git,
array-slice,0.2.3,MIT,git://github.com/jonschlinkert/array-slice.git,
array-union,1.0.1,MIT,git+https://github.com/sindresorhus/array-union.git,
array-uniq,1.0.2,MIT,git+https://github.com/sindresorhus/array-uniq.git,
array-unique,0.2.1,MIT,git://github.com/jonschlinkert/array-unique.git,
arrify,1.0.0,MIT,git+https://github.com/sindresorhus/arrify.git,
asap,1.0.0,MIT,,
asn1,0.1.11,MIT,git://github.com/mcavage/node-asn1.git,
asn1.js,2.2.1,MIT,git+ssh://git@github.com/indutny/asn1.js.git,
asn1.js-rfc2560,2.1.0,MIT,git@github.com:indutny/asn1.js,
asn1.js-rfc3280,2.1.0,MIT,git@github.com:indutny/asn1.js,
assert,1.3.0,MIT,git://github.com/defunctzombie/commonjs-assert.git,
assert-plus,0.1.5,undefined,git+https://github.com/mcavage/node-assert-plus.git,
ast-traverse,0.1.1,MIT,git+https://github.com/olov/ast-traverse.git,
ast-types,0.8.11,MIT,git://github.com/benjamn/ast-types.git,
ast-types,0.8.5,MIT,git://github.com/benjamn/ast-types.git,
astw,2.0.0,MIT,git://github.com/substack/astw.git,
async,0.2.10,MIT,git+https://github.com/caolan/async.git,
async,0.2.9,MIT,git+https://github.com/caolan/async.git,
async,0.9.0,MIT,git+https://github.com/caolan/async.git,
async,0.9.2,MIT,git+https://github.com/caolan/async.git,
async,1.4.2,MIT,git+https://github.com/caolan/async.git,
async-each,0.1.6,MIT,git://github.com/paulmillr/async-each.git,
aws-sdk,2.2.3,Apache-2.0,git://github.com/aws/aws-sdk-js.git,
aws-sign2,0.5.0,Apache-2.0,git+https://github.com/mikeal/aws-sign.git,
b,1.0.0,undefined,,
babel-core,5.8.24,MIT,git+https://github.com/babel/babel.git,
babel-jscs,2.0.4,MIT,git+https://github.com/jscs-dev/babel-jscs.git,
babel-plugin-constant-folding,1.0.1,MIT,git+https://github.com/babel-plugins/babel-plugin-constant-folding.git,
babel-plugin-dead-code-elimination,1.0.2,MIT,git+https://github.com/babel-plugins/babel-plugin-dead-code-elimination.git,
babel-plugin-eval,1.0.1,MIT,git+https://github.com/babel-plugins/babel-plugin-eval.git,
babel-plugin-inline-environment-variables,1.0.1,MIT,git+https://github.com/babel-plugins/babel-plugin-inline-environment-variables.git,
babel-plugin-jscript,1.0.4,MIT,git+https://github.com/babel-plugins/babel-plugin-jscript.git,
babel-plugin-member-expression-literals,1.0.1,MIT,git+https://github.com/babel-plugins/babel-plugin-member-expression-literals.git,
babel-plugin-property-literals,1.0.1,MIT,git+https://github.com/babel-plugins/babel-plugin-property-literals.git,
